"first_name","last_name","email","tag_title","dept","team","lr_id","lr_company_id","lr_user_id","lr_leave_type_id","lr_to_date","lr_from_date","lr_leave_duration","lr_reason","lr_actioned_by","lr_actioned_at","lr_actioned_reason","lr_status","created_at","created_by","updated_at","updated_by"
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","13","85","42668","23","31/5/2025","31/5/2025","0","Out of station","85","11/7/2025 11:12:33",,"1","11/7/2025 11:00:13","42668","11/7/2025 11:12:33","85"
"Diksha","Verma","testdikshav111@mailinator.com","@Diksha.verma","#Support","$Sales","14","85","33834","23","15/5/2025","15/5/2025","0","Attend family Function","85","11/7/2025 11:35:12",,"1","11/7/2025 11:34:20","33834","11/7/2025 11:35:12","85"
"hs111","DS","hs1@mailinator.com","@hs","#department","$team","16","85","36679","23","30/6/2025","30/6/2025","0","Pass","85","19/7/2025 12:33:43","Pass","1","19/7/2025 11:42:35","36679","19/7/2025 12:33:43","85"
"Manoj Kumar","Verma","manoj.verma@aryavratifotech.com","@manoj.verma","#Android","$team","17","85","42664","23","2/7/2025","2/7/2025","0","Personal Work ","85","22/7/2025 04:34:29",,"1","21/7/2025 13:14:02","42664","22/7/2025 04:34:29","85"
"Gaurav","Singodia","gaurav.singodia@aryavratinfotech.com","@gaurav.singodia","#design","$development","18","85","40404","23","18/7/2025","18/7/2025","0","Medical Issue","26364","22/7/2025 10:11:29","Approve","1","21/7/2025 13:21:59","40404","22/7/2025 10:11:29","26364"
"Pawan","Sharma","pawan.sharma@aryavratinfotech.com","@pawan.sharma","#BPO","$Digital Marketing","19","85","42666","23","2/7/2025","2/7/2025","0","Personal leave","85","23/7/2025 08:29:20",,"1","22/7/2025 04:05:22","42666","23/7/2025 08:29:20","85"
"Pawan","Sharma","pawan.sharma@aryavratinfotech.com","@pawan.sharma","#BPO","$Digital Marketing","20","85","42666","23","10/7/2025","10/7/2025","0","Personal Leave","85","23/7/2025 10:37:35","Approved","1","22/7/2025 04:05:52","42666","23/7/2025 10:37:35","85"
"Pawan","Sharma","pawan.sharma@aryavratinfotech.com","@pawan.sharma","#BPO","$Digital Marketing","21","85","42666","23","11/7/2025","11/7/2025","0","Personal Leave","85","23/7/2025 10:37:17","Approved","1","22/7/2025 04:06:38","42666","23/7/2025 10:37:17","85"
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","22","85","42668","23","3/7/2025","3/7/2025","0","Family Function","85","22/7/2025 04:35:23",,"1","22/7/2025 04:08:09","42668","22/7/2025 04:35:23","85"
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","23","85","42668","23","4/7/2025","4/7/2025","0","Family Function","26364","22/7/2025 10:09:58","Approve","1","22/7/2025 04:08:55","42668","22/7/2025 10:09:58","26364"
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","24","85","42668","23","5/7/2025","5/7/2025","0","Family Function","26364","22/7/2025 10:09:36",,"1","22/7/2025 04:09:49","42668","22/7/2025 10:09:36","26364"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","25","85","37458","23","8/7/2025","8/7/2025","0","Sick Leave","26364","23/7/2025 09:36:25","Approved","1","22/7/2025 04:12:25","37458","23/7/2025 09:36:25","26364"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","26","85","37458","23","9/7/2025","9/7/2025","0","Sick Leave","26364","23/7/2025 09:36:14","Approved","1","22/7/2025 04:12:52","37458","23/7/2025 09:36:14","26364"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","27","85","37458","23","10/7/2025","10/7/2025","0","Sick Leave","26364","23/7/2025 09:35:55","Approved","1","22/7/2025 04:13:15","37458","23/7/2025 09:35:55","26364"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","28","85","37458","23","11/7/2025","11/7/2025","0","Sick Leave","26364","23/7/2025 09:35:39","Approved","1","22/7/2025 04:13:45","37458","23/7/2025 09:35:39","26364"
"Raghav","Patodiya","raghav.patodia@aryavratinfotech.com","@raghavp111","#department","$team","29","85","45131","23","15/7/2025","15/7/2025","0","personal Reason","85","22/7/2025 09:30:10",,"1","22/7/2025 04:16:59","45131","22/7/2025 09:30:10","85"
"Khemchand","Lakhra (Development)","Testkhemchandl111@mailinator.com","@khemchand.lakhera","#Backend","$development","30","85","28790","23","21/7/2025","21/7/2025","0","Can't able to come office due bad health","85","23/7/2025 06:44:10","Ok","1","23/7/2025 05:34:07","28790","23/7/2025 06:44:10","85"
"Deepak","Goswami(QA)","Testdeepakg111@mailinator.com","@deepak.goswami","#QA","$development","31","85","28791","23","14/7/2025","14/7/2025","0","Personal Leave","28791","23/7/2025 12:02:32",,"2","23/7/2025 11:59:54","28791","23/7/2025 12:02:32","28791"
"Ashish","Mahan(BDM)","Testashishm111@mailinator.com","@ashish.mahan","#sales","$management","32","85","26364","24","15/7/2025","15/7/2025","0","Lower Back Pain ","26364","23/7/2025 12:32:47","Approved","1","23/7/2025 12:32:28","26364","23/7/2025 12:32:47","26364"
"Vaishnavi","Sharma -Product Support","testvaishnavis111@mailinator.com","@vaishnavi.sharma","#Support","$Sales","33","85","36949","23","23/6/2025","23/6/2025","0","Family Function ","85","24/7/2025 06:51:32",,"2","24/7/2025 04:59:30","36949","24/7/2025 06:51:32","85"
"Deepak","Goswami(QA)","Testdeepakg111@mailinator.com","@deepak.goswami","#QA","$development","34","85","28791","23","23/6/2025","23/6/2025","0","Family Function ","85","24/7/2025 06:51:14",,"1","24/7/2025 05:03:18","28791","24/7/2025 06:51:14","85"
"Mukesh","Sharma (Development)","testmukeshji111@mailinator.com","@mukesh.sharma","#development","$management","36","85","35770","23","11/6/2025","11/6/2025","0",,"35770","24/7/2025 05:40:28",,"1","24/7/2025 05:37:53","35770","24/7/2025 05:40:28","35770"
"Mukesh","Sharma (Development)","testmukeshji111@mailinator.com","@mukesh.sharma","#development","$management","37","85","35770","23","12/6/2025","12/6/2025","0",,"35770","24/7/2025 05:40:39",,"1","24/7/2025 05:39:25","35770","24/7/2025 05:40:39","35770"
"Mukesh","Sharma (Development)","testmukeshji111@mailinator.com","@mukesh.sharma","#development","$management","38","85","35770","23","13/6/2025","13/6/2025","0",,"35770","24/7/2025 05:41:59",,"1","24/7/2025 05:41:30","35770","24/7/2025 05:41:59","35770"
"Khemchand","Lakhra (Development)","Testkhemchandl111@mailinator.com","@khemchand.lakhera","#Backend","$development","39","85","28790","23","4/6/2025","4/6/2025","0",,"85","24/7/2025 06:46:11",,"1","24/7/2025 05:50:23","28790","24/7/2025 06:46:11","85"
"Priyansh","Tiwari(Development)","testpriyansh111@mailinator.com","@Priyansh.tiwari","#Frontend","$development","40","85","17771","23","12/6/2025","12/6/2025","0",,"85","24/7/2025 06:48:38",,"1","24/7/2025 05:52:45","17771","24/7/2025 06:48:38","85"
"Priyansh","Tiwari(Development)","testpriyansh111@mailinator.com","@Priyansh.tiwari","#Frontend","$development","41","85","17771","23","13/6/2025","13/6/2025","0",,"85","24/7/2025 06:48:24",,"1","24/7/2025 05:53:33","17771","24/7/2025 06:48:24","85"
"Priyansh","Tiwari(Development)","testpriyansh111@mailinator.com","@Priyansh.tiwari","#Frontend","$development","42","85","17771","23","30/6/2025","30/6/2025","0",,"85","24/7/2025 06:47:31",,"1","24/7/2025 05:53:58","17771","24/7/2025 06:47:31","85"
"Nitin","Kumar (Development)","testnitink111@mailinator.com","@nitin.kumar","#Backend","$development","43","85","37190","23","9/6/2025","9/6/2025","0",,"85","24/7/2025 06:46:46",,"1","24/7/2025 05:56:47","37190","24/7/2025 06:46:46","85"
"Shubham","Jangid(DeskTrackTech Support)","shubhamj111@mailinator.com","@shubham.jangid","#Support","$Sales","44","85","32402","23","24/6/2025","24/6/2025","0",,"85","24/7/2025 06:52:25",,"1","24/7/2025 05:58:41","32402","24/7/2025 06:52:25","85"
"Diksha","Verma","testdikshav111@mailinator.com","@Diksha.verma","#Support","$Sales","45","85","33834","23","19/6/2025","19/6/2025","0",,"85","24/7/2025 06:52:10",,"1","24/7/2025 06:00:01","33834","24/7/2025 06:52:10","85"
"Lovely","Soni","testlovelys111@mailinator.com","@lovely.soni","#marketing","$Digital Marketing","46","85","38537","23","24/6/2025","24/6/2025","0",,"85","24/7/2025 06:51:50",,"1","24/7/2025 06:09:55","38537","24/7/2025 06:51:50","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","47","85","41610","23","16/6/2025","16/6/2025","0",,"85","24/7/2025 06:48:57",,"1","24/7/2025 06:13:20","41610","24/7/2025 06:48:57","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","48","85","41610","23","18/6/2025","18/6/2025","0",,"85","24/7/2025 06:49:29",,"1","24/7/2025 06:17:54","41610","24/7/2025 06:49:29","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","49","85","41610","23","20/6/2025","20/6/2025","0",,"85","24/7/2025 06:49:58",,"1","24/7/2025 06:19:05","41610","24/7/2025 06:49:58","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","50","85","41610","23","23/6/2025","23/6/2025","0",,"85","24/7/2025 06:50:24",,"1","24/7/2025 06:19:43","41610","24/7/2025 06:50:24","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","51","85","41610","23","25/6/2025","25/6/2025","0",,"85","24/7/2025 06:50:52",,"1","24/7/2025 06:20:04","41610","24/7/2025 06:50:52","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","52","85","41610","23","27/6/2025","27/6/2025","0",,"85","24/7/2025 06:49:44",,"1","24/7/2025 06:20:30","41610","24/7/2025 06:49:44","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","53","85","41610","23","30/6/2025","30/6/2025","0",,"85","24/7/2025 06:48:10",,"1","24/7/2025 06:21:08","41610","24/7/2025 06:48:10","85"
"Pawan","Sharma","pawan.sharma@aryavratinfotech.com","@pawan.sharma","#BPO","$Digital Marketing","54","85","42666","23","27/6/2025","27/6/2025","0",,"85","24/7/2025 06:53:20",,"1","24/7/2025 06:22:59","42666","24/7/2025 06:53:20","85"
"Pawan","Sharma","pawan.sharma@aryavratinfotech.com","@pawan.sharma","#BPO","$Digital Marketing","55","85","42666","23","30/6/2025","30/6/2025","0",,"85","24/7/2025 06:53:05",,"1","24/7/2025 06:23:29","42666","24/7/2025 06:53:05","85"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","56","85","37458","23","4/6/2025","4/6/2025","0",,"85","24/7/2025 06:53:54",,"1","24/7/2025 06:28:37","37458","24/7/2025 06:53:54","85"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","57","85","37458","23","5/6/2025","5/6/2025","0",,"85","24/7/2025 06:54:06",,"1","24/7/2025 06:29:01","37458","24/7/2025 06:54:06","85"
"Deepak","Rana","testdeepakr111@mailinator.com","@deepak.rana","#marketing","$Digital Marketing","58","85","39077","23","4/6/2025","4/6/2025","0",,"85","24/7/2025 06:53:36",,"1","24/7/2025 06:30:39","39077","24/7/2025 06:53:36","85"
"Deepak","Rana","testdeepakr111@mailinator.com","@deepak.rana","#marketing","$Digital Marketing","59","85","39077","23","9/6/2025","9/6/2025","0",,"85","24/7/2025 06:52:52",,"1","24/7/2025 06:31:30","39077","24/7/2025 06:52:52","85"
"Tanupriya","Sharma","tanupriya.sharma@aryavratinfotech.com","@tanupriya.sharma18790","#department","$team","60","85","44616","23","12/6/2025","12/6/2025","0",,"85","24/7/2025 06:49:16",,"1","24/7/2025 06:35:44","44616","24/7/2025 06:49:16","85"
"hs111","DS","hs1@mailinator.com","@hs","#department","$team","61","85","36679","23","25/7/2025","21/7/2025","0","Personals leave ",,,,"0","28/7/2025 06:36:45","36679",,
"Kirti","Kumawat(Developer)","kirti.kumawat@mailinator.com","@kirti.kumawat","#Backend","$development","63","85","26738","23",,"24/6/2025","2","personal leave","85","30/7/2025 06:57:33",,"1","30/7/2025 06:56:06","26738","30/7/2025 06:57:33","85"
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","64","85","37458","23","11/8/2025","11/8/2025","0","Family outing ","85","8/8/2025 06:24:33",,"1","3/8/2025 18:20:38","37458","8/8/2025 06:24:33","85"
"Divya","Jain","divya.jain@aryavratinfotech.com","@divya.jain36852","#department","$team","65","85","45732","23",,"4/8/2025","2","Have to go in a family function ","26364","8/8/2025 10:15:06","Approved","1","4/8/2025 06:54:40","45732","8/8/2025 10:15:06","26364"
"Tanya","Sharma","tanya.sharma@aryavratinfotech.com","@tanya.sharma","#department","$team","66","85","44659","23","8/8/2025","8/8/2025","0","Travelling to home for the festivities.","26364","6/8/2025 12:59:47","Approved","1","4/8/2025 06:57:17","44659","6/8/2025 12:59:47","26364"
"Vaishnavi","Sharma -Product Support","testvaishnavis111@mailinator.com","@vaishnavi.sharma","#Support","$Sales","67","85","36949","23","8/8/2025","8/8/2025","0","Travelling to home for the festivities.","26364","8/8/2025 10:14:41","Disapproved","2","4/8/2025 08:59:34","36949","8/8/2025 10:14:41","26364"
"Yuvraj","Pareta (Trainee)","yuvraj.pareta@aryavratinfotech.com","@yuvrajpareta","#Backend","$development","68","85","40743","23","14/8/2025","11/8/2025","0","I hope you are doing well. I would like to request leave from August 11th to August 14th, 2025, As I plan to visit home town during these days.

 I will ensure all my tasks are up to date before my leave begins.

","85","8/8/2025 10:02:07","approve","1","4/8/2025 09:19:55","40743","8/8/2025 10:02:07","85"
"Pawan Kumar","Prajapati","pawan.prajapati@aryavratinfotech.com","@pawan.prajapati","#department","$team","69","85","44657","23",,"8/8/2025","2","Going to my hometown.","85","8/8/2025 10:01:14","approve","1","4/8/2025 09:24:22","44657","8/8/2025 10:01:14","85"
"Tripti","Sharma - QA","testtriptis111@mailinator.com","@tripti.sharma","#QA","$development","70","85","36968","23","8/8/2025","8/8/2025","0","Family Function","85","8/8/2025 10:01:36","approve","1","4/8/2025 09:30:11","36968","8/8/2025 10:01:36","85"
"Khemchand","Lakhra (Development)","Testkhemchandl111@mailinator.com","@khemchand.lakhera","#Backend","$development","71","85","28790","23","31/7/2025","31/7/2025","0","Person Leave","85","11/8/2025 06:47:47","Approved","1","4/8/2025 11:58:12","28790","11/8/2025 06:47:47","85"
"Gaurav","Singodia","gaurav.singodia@aryavratinfotech.com","@gaurav.singodia","#design","$development","72","85","40404","23","2/8/2025","2/8/2025","0","medical leave","85","7/8/2025 12:31:10","Reject for testing purpose","2","4/8/2025 12:18:15","40404","7/8/2025 12:31:10","85"
"Sagar","Modi(Development)","testmodisagar112@mailintor.com","@sagar.modi","#development","$management","73","85","119","23",,"6/8/2025","2",,"85","7/8/2025 12:19:29","f","2","5/8/2025 10:29:55","119","7/8/2025 12:19:29","85"
"Lovely","Soni","testlovelys111@mailinator.com","@lovely.soni","#marketing","$Digital Marketing","74","85","38537","23","8/8/2025","8/8/2025","0","I would like to request a one-day leave on 08-08-2025on the occasion of Raksha Bandhan. I wish to celebrate the festival with my family and take part in the traditional rituals.
Thank you for considering my request. I look forward to your approval.","85","8/8/2025 06:25:21",,"1","6/8/2025 08:17:44","38537","8/8/2025 06:25:21","85"
"Deepak","Rana","testdeepakr111@mailinator.com","@deepak.rana","#marketing","$Digital Marketing","85","85","39077","23","11/8/2025","11/8/2025","0","I hope this email finds you well. I would like to request a leave of absence on 11th August 2025 due to some personal issues. Kindly consider this email as a formal request for the day off.
","26364","8/8/2025 10:13:59","Approved","1","8/8/2025 09:32:11","39077","8/8/2025 10:13:59","26364"
"Ashish","Mahan(BDM)","Testashishm111@mailinator.com","@ashish.mahan","#sales","$management","86","85","26364","23","3/7/2025","3/7/2025","0","Personal Leave ","26364","11/8/2025 06:51:51","Approved.","1","11/8/2025 06:50:32","26364","11/8/2025 06:51:51","26364"
"Ashish","Mahan(BDM)","Testashishm111@mailinator.com","@ashish.mahan","#sales","$management","87","85","26364","23","15/7/2025","15/7/2025","0","Personal Leave ","26364","11/8/2025 06:52:04","Approved.","1","11/8/2025 06:51:26","26364","11/8/2025 06:52:04","26364"
"Lovely","Soni","testlovelys111@mailinator.com","@lovely.soni","#marketing","$Digital Marketing","88","85","38537","23","29/7/2025","29/7/2025","0","Personal Leave ","85","11/8/2025 06:59:29","Approved.","1","11/8/2025 06:58:39","38537","11/8/2025 06:59:29","85"
"Jayendra","Sharma (QA)","jayendra.sharma@aryavratinfotech.com","@jayendra.sharma","#QA","$development","89","85","41610","23","22/7/2025","21/7/2025","0","personal  Leave","85","11/8/2025 07:09:47","Approved ","1","11/8/2025 07:09:31","41610","11/8/2025 07:09:47","85"
"Manoj Kumar","Verma","manoj.verma@aryavratifotech.com","@manoj.verma","#Android","$team","90","85","42664","23","30/7/2025","30/7/2025","0","Personal Leave ","85","11/8/2025 07:11:31","Approved","1","11/8/2025 07:11:19","42664","11/8/2025 07:11:31","85"
"Sumit","Kumar","sumit.kumar@aryavratinfotech.com","@sumit.kumar54312","#BPO","$Digital Marketing","91","85","42667","23","16/7/2025","15/7/2025","0","personal Leave","85","11/8/2025 07:22:24","Approved","1","11/8/2025 07:22:02","42667","11/8/2025 07:22:24","85"
"Raghav","Patodiya","raghav.patodia@aryavratinfotech.com","@raghavp111","#department","$team","92","85","45131","23","30/7/2025","30/7/2025","0","Personal Leave ","85","11/8/2025 07:29:08","Approved.","1","11/8/2025 07:28:51","45131","11/8/2025 07:29:08","85"
"Tripti","Sharma - QA","testtriptis111@mailinator.com","@tripti.sharma","#QA","$development","93","85","36968","23","19/7/2025","19/7/2025","0","Personal Leave ","85","11/8/2025 07:34:45","Approved.","1","11/8/2025 07:34:31","36968","11/8/2025 07:34:45","85"
"Deepak","Rana","testdeepakr111@mailinator.com","@deepak.rana","#marketing","$Digital Marketing","94","85","39077","23","15/7/2025","15/7/2025","0","Personal Leave ","85","11/8/2025 07:42:20","approved","1","11/8/2025 07:37:06","39077","11/8/2025 07:42:20","85"
"Deepak","Rana","testdeepakr111@mailinator.com","@deepak.rana","#marketing","$Digital Marketing","95","85","39077","23","22/7/2025","22/7/2025","0","Personal Leave ","85","11/8/2025 07:42:45","approved","1","11/8/2025 07:37:27","39077","11/8/2025 07:42:45","85"
"Tanya","Sharma","tanya.sharma@aryavratinfotech.com","@tanya.sharma","#department","$team","96","85","44659","23","15/7/2025","15/7/2025","0","Persona Leave ","85","11/8/2025 07:41:28","approved","1","11/8/2025 07:39:06","44659","11/8/2025 07:41:28","85"
"Tanya","Sharma","tanya.sharma@aryavratinfotech.com","@tanya.sharma","#department","$team","97","85","44659","23","30/7/2025","30/7/2025","0","Personal Leave ","85","11/8/2025 07:43:30","approved","1","11/8/2025 07:39:28","44659","11/8/2025 07:43:30","85"
"Sandeep","Bhakar","sandeepbhakar@aryavratinfotech.com","@sandeepbhakar287","#department","$team","98","85","45159","23","30/7/2025","30/7/2025","0","Personal Leave ","85","11/8/2025 07:43:06","approved","1","11/8/2025 07:40:55","45159","11/8/2025 07:43:06","85"
"Harsh","Dusad","harsh.dusad@aryavratinfotech.com","@harsh.dusad","#design","$development","99","85","42668","23",,"11/8/2025","2","Early logout at 5:10 pm (Because of my son is not well he is injured)",,,,"0","11/8/2025 10:34:01","42668",,
"Tejender","Kaur","tejenderk111@mailinator.com","@tejenderk111","#department","$team","100","85","45129","23","14/8/2025","14/8/2025","0","I need to visit my college for registration and fee submission.
","85","13/8/2025 10:36:45","approved","1","11/8/2025 12:21:59","45129","13/8/2025 10:36:45","85"
"Anurag","Kumar","anuragk111@mailinator.com","@anuragk111","#department","$team","101","85","45128","23","14/8/2025","14/8/2025","0"," I need to visit my college for registration and fee submission.","85","13/8/2025 10:37:19","ok","1","11/8/2025 12:23:31","45128","13/8/2025 10:37:19","85"
"Gaurav","Singodia","gaurav.singodia@aryavratinfotech.com","@gaurav.singodia","#design","$development","104","85","40404","23","22/8/2025","22/8/2025","0","Attend a family function",,,,"0","20/8/2025 14:19:27","40404",,
"Parth","Mehta","testparthm111@mailinator.com","@parth.mehta","#marketing","$Digital Marketing","105","85","37458","23","21/8/2025","21/8/2025","0","Urgent bank work",,,,"0","21/8/2025 04:29:48","37458",,
"Lovely","Soni","testlovelys111@mailinator.com","@lovely.soni","#marketing","$Digital Marketing","106","85","38537","23","20/8/2025","20/8/2025","0","Sick leave",,,,"0","21/8/2025 12:12:25","38537",,
